Time,Flux,Max_Particle_Vel,Max_K,Max_Eps
4.799999999999634559e-01,0.000000000000000000e+00,2.829613298753946293e-01,1.084443412081610297e-01,8.798416247582488969e-01
4.899999999999623546e-01,0.000000000000000000e+00,2.949320308417030523e-01,1.080246897189789668e-01,8.801072314960127763e-01
4.999999999999612532e-01,0.000000000000000000e+00,1.831642455716359641e-01,1.091101688950090187e-01,8.799146434724667287e-01
5.099999999999601519e-01,0.000000000000000000e+00,1.917831316128655872e-01,1.096025485401293242e-01,8.792023341508347078e-01
5.199999999999590505e-01,0.000000000000000000e+00,2.062434237718843155e-01,1.096645499721291966e-01,8.779008567573023392e-01
5.299999999999579492e-01,0.000000000000000000e+00,2.791958615722834325e-01,1.091409197928882580e-01,8.760013309692752381e-01
5.399999999999568479e-01,0.000000000000000000e+00,2.261113617834829281e-01,1.100813491083741380e-01,8.735306705511254322e-01
5.499999999999557465e-01,0.000000000000000000e+00,2.633481055291675421e-01,1.100217080733386921e-01,8.705446924172566270e-01
5.599999999999546452e-01,0.000000000000000000e+00,2.248425591401722323e-01,1.106824169280809095e-01,8.669898185001212454e-01
5.699999999999535438e-01,0.000000000000000000e+00,3.422915574882328116e-01,1.111480511617356504e-01,8.636319549217200686e-01
5.799999999999524425e-01,0.000000000000000000e+00,3.102426423045541726e-01,1.122526353435576996e-01,8.621376190000401563e-01
5.899999999999513411e-01,0.000000000000000000e+00,2.238504489891904314e-01,1.142483247743971558e-01,9.189764790162681107e-01
5.999999999999502398e-01,0.000000000000000000e+00,2.801655148440834742e-01,1.158655481451695279e-01,9.782245518696349729e-01
6.099999999999491385e-01,0.000000000000000000e+00,2.684436969266926210e-01,1.155610950526330116e-01,1.041171217182583320e+00
6.199999999999480371e-01,0.000000000000000000e+00,2.560616833853567864e-01,1.160731790366260757e-01,1.098112008723238331e+00
6.299999999999469358e-01,0.000000000000000000e+00,3.131846856205502405e-01,1.186055218252802940e-01,1.163054896870890476e+00
6.399999999999458344e-01,0.000000000000000000e+00,2.218277239869205497e-01,1.221424879786615486e-01,1.231603007808394823e+00
6.499999999999447331e-01,0.000000000000000000e+00,2.895421464804953104e-01,1.260777365885533130e-01,1.311013730981247294e+00
6.599999999999436318e-01,0.000000000000000000e+00,2.764664326746150147e-01,1.284259219032619914e-01,1.398725888821115371e+00
6.699999999999425304e-01,0.000000000000000000e+00,3.086348445598506296e-01,1.316609864908946936e-01,1.505680309080992263e+00
6.799999999999414291e-01,0.000000000000000000e+00,2.327633346475253551e-01,1.373861367438773129e-01,1.638811211032958681e+00
6.899999999999403277e-01,0.000000000000000000e+00,2.301534545122450870e-01,1.434415768657086865e-01,1.774701070937555025e+00
6.999999999999392264e-01,0.000000000000000000e+00,2.846879747272166861e-01,1.493108860031493457e-01,1.920062643165759253e+00
7.099999999999381251e-01,0.000000000000000000e+00,2.803821667032062037e-01,1.548524719959482598e-01,2.059503915613732250e+00
7.199999999999370237e-01,0.000000000000000000e+00,2.155580624498175946e-01,1.591299664604874098e-01,2.163411262856466344e+00
7.299999999999359224e-01,0.000000000000000000e+00,2.558858380609499439e-01,1.615723425802723934e-01,2.229076835887186192e+00
7.399999999999348210e-01,0.000000000000000000e+00,2.823709700574005277e-01,1.619642654259813852e-01,2.245283931956762569e+00
7.499999999999337197e-01,0.000000000000000000e+00,3.167899472223734691e-01,1.613892737000947597e-01,2.239270865088953677e+00
7.599999999999326183e-01,0.000000000000000000e+00,2.174163198711715483e-01,1.608586201037593422e-01,2.220878424858694355e+00
7.699999999999315170e-01,0.000000000000000000e+00,2.842975086736531654e-01,1.612133176442068216e-01,2.213393978099268189e+00
7.799999999999304157e-01,0.000000000000000000e+00,3.437995190714011606e-01,1.631361714376214633e-01,2.235254919898274739e+00
7.899999999999293143e-01,0.000000000000000000e+00,2.427343656722443233e-01,1.700194306580318504e-01,2.329191165772007910e+00
7.999999999999282130e-01,0.000000000000000000e+00,2.145905325466927471e-01,1.802249993594778332e-01,2.465382020985260603e+00
8.099999999999271116e-01,1.000000000000000000e+00,3.092247380200834339e-01,1.867486634451292760e-01,2.563232699738454023e+00
8.199999999999260103e-01,1.000000000000000000e+00,3.705695785188189983e-01,1.866679115452314908e-01,2.552258174952954928e+00
8.299999999999249090e-01,1.000000000000000000e+00,2.702491093526445121e-01,1.794159943122900225e-01,2.399357920839234826e+00
8.399999999999238076e-01,1.000000000000000000e+00,2.847044606642898379e-01,1.674584952577906627e-01,2.155985436850583969e+00
8.499999999999227063e-01,1.000000000000000000e+00,3.506910035316248564e-01,1.536583664700534313e-01,1.885787659324485110e+00
8.599999999999216049e-01,1.000000000000000000e+00,2.806991600289173716e-01,1.396638210775733302e-01,1.624305739708870266e+00
8.699999999999205036e-01,1.000000000000000000e+00,3.473063848840842183e-01,1.425400999185056639e-01,1.633575078762678157e+00
8.799999999999194022e-01,1.000000000000000000e+00,3.340036454480733719e-01,1.426654352028128292e-01,1.656879506139856240e+00
8.899999999999183009e-01,1.000000000000000000e+00,3.274648247316924166e-01,1.975868336103451806e-01,2.300013155998644976e+00
8.999999999999171996e-01,1.000000000000000000e+00,2.477107587538546485e-01,2.437794130686468108e-01,3.324369000205017688e+00
9.099999999999160982e-01,1.000000000000000000e+00,3.156204674211225969e-01,2.591478803336156322e-01,3.846924971333531396e+00
9.199999999999149969e-01,1.000000000000000000e+00,3.775937348288530560e-01,3.078910502862153287e-01,4.378339906861806519e+00
9.299999999999138955e-01,1.000000000000000000e+00,2.713159555541179713e-01,3.731935306536252051e-01,6.042666089689569198e+00
9.399999999999127942e-01,1.000000000000000000e+00,3.270902056482264952e-01,4.170945740201411622e-01,7.259675523074698766e+00
9.499999999999116929e-01,1.000000000000000000e+00,3.840209722273830728e-01,4.714044560354126445e-01,8.642950250787807320e+00
9.599999999999105915e-01,1.000000000000000000e+00,2.870649853523158379e-01,5.267391711115764208e-01,1.014480441976909830e+01
9.699999999999094902e-01,1.000000000000000000e+00,3.326542952387890884e-01,5.788799861123399282e-01,1.173801292397461715e+01
9.799999999999083888e-01,1.000000000000000000e+00,3.895734687567850574e-01,6.048545905649543863e-01,1.279574423455110477e+01
9.899999999999072875e-01,1.000000000000000000e+00,2.368981338853264340e-01,6.161439804412981447e-01,1.335660963575686289e+01
9.999999999999061862e-01,1.000000000000000000e+00,2.947311440781966163e-01,6.330547538098939553e-01,1.393650138260447768e+01
1.009999999999905196e+00,1.000000000000000000e+00,3.456483295950172896e-01,6.570413355487327856e-01,1.457480472267710425e+01
1.019999999999904094e+00,1.000000000000000000e+00,2.902626329798524973e-01,6.839453763912390905e-01,1.532025331684962488e+01
