Time,Flux,Max_Particle_Vel,Max_K,Max_Omega
4.399999999999678613e-01,0.000000000000000000e+00,2.952966611448161749e-01,3.750000000000045831e-03,1.000000000000000000e+03
4.499999999999667599e-01,0.000000000000000000e+00,2.277836100820900544e-01,3.750000000000046265e-03,1.000000000000000000e+03
4.599999999999656586e-01,0.000000000000000000e+00,1.915541308941330900e-01,3.750000000000044097e-03,1.000000000000000000e+03
4.699999999999645572e-01,0.000000000000000000e+00,2.131403254276407477e-01,3.750000000000046699e-03,1.000000000000000000e+03
4.799999999999634559e-01,0.000000000000000000e+00,2.460776060852054581e-01,3.750000000000048000e-03,1.000000000000000000e+03
4.899999999999623546e-01,0.000000000000000000e+00,2.683178433230449800e-01,3.750000000000047566e-03,1.000000000000000000e+03
4.999999999999612532e-01,0.000000000000000000e+00,2.432445968705153616e-01,3.750000000000044530e-03,1.000000000000000000e+03
5.099999999999601519e-01,0.000000000000000000e+00,2.568469414871941692e-01,3.750000000000043663e-03,1.000000000000000000e+03
5.199999999999590505e-01,0.000000000000000000e+00,2.879173453607695721e-01,3.750000000000041928e-03,1.000000000000000000e+03
5.299999999999579492e-01,0.000000000000000000e+00,2.690253390300327840e-01,3.750000000000041061e-03,1.000000000000000000e+03
5.399999999999568479e-01,0.000000000000000000e+00,1.896119724526433570e-01,3.750000000000039326e-03,1.000000000000000000e+03
5.499999999999557465e-01,0.000000000000000000e+00,1.613948488382493662e-01,3.750000000000038459e-03,1.000000000000000000e+03
5.599999999999546452e-01,0.000000000000000000e+00,1.643313201957681824e-01,3.750000000000041061e-03,1.000000000000000000e+03
5.699999999999535438e-01,0.000000000000000000e+00,2.239109134154050884e-01,3.750000000000042362e-03,1.000000000000000000e+03
5.799999999999524425e-01,0.000000000000000000e+00,2.024180902086815670e-01,3.750000000000040194e-03,1.000000000000000000e+03
5.899999999999513411e-01,0.000000000000000000e+00,2.416900626288994436e-01,3.750000000000044530e-03,1.000000000000000000e+03
5.999999999999502398e-01,0.000000000000000000e+00,1.847164955873877301e-01,3.750000000000043663e-03,1.000000000000000000e+03
6.099999999999491385e-01,0.000000000000000000e+00,1.469519320346883151e-01,3.750000000000048867e-03,1.000000000000000000e+03
6.199999999999480371e-01,0.000000000000000000e+00,1.711674737494725262e-01,3.750000000000045398e-03,1.000000000000000000e+03
6.299999999999469358e-01,0.000000000000000000e+00,1.960267124662478100e-01,3.750000000000043663e-03,1.000000000000000000e+03
6.399999999999458344e-01,0.000000000000000000e+00,1.869781449410285457e-01,3.750000000000041495e-03,1.000000000000000000e+03
6.499999999999447331e-01,0.000000000000000000e+00,1.673711206485083980e-01,3.750000000000042362e-03,1.000000000000000000e+03
6.599999999999436318e-01,0.000000000000000000e+00,1.926735200417518945e-01,3.750000000000039326e-03,1.000000000000000000e+03
6.699999999999425304e-01,0.000000000000000000e+00,2.060009517724473993e-01,3.750000000000040627e-03,1.000000000000000000e+03
6.799999999999414291e-01,0.000000000000000000e+00,1.539260670854243618e-01,3.750000000000044097e-03,1.000000000000000000e+03
