time,y,vy,ay
8.500000000000004080e-03,1.021415068159476636e-01,-5.701335727293687511e-02,-5.671595350607618435e+00
8.600000000000003475e-03,1.021357772206097220e-01,-5.757854948586450111e-02,-5.651922129276261586e+00
8.700000000000002870e-03,1.021299912040966873e-01,-5.814178077490966129e-02,-5.632312890451608212e+00
8.800000000000002265e-03,1.021241489621818876e-01,-5.870305752104575114e-02,-5.612767461360877341e+00
8.900000000000001660e-03,1.021182506900014386e-01,-5.926238608798006791e-02,-5.593285669343138089e+00
9.000000000000001055e-03,1.021122965820559364e-01,-5.981977282216539848e-02,-5.573867341853340207e+00
9.100000000000000450e-03,1.021062868322121925e-01,-6.037522405281203070e-02,-5.554512306466325100e+00
9.199999999999999845e-03,1.021002216337049545e-01,-6.092874609190007673e-02,-5.535220390880453145e+00
9.299999999999999239e-03,1.020941011791386549e-01,-6.148034523419237951e-02,-5.515991422922995824e+00
9.399999999999998634e-03,1.020879256604890761e-01,-6.203002775724738432e-02,-5.496825230550018482e+00
9.499999999999998029e-03,1.020816952691051410e-01,-6.257779992143229497e-02,-5.477721641849061740e+00
9.599999999999997424e-03,1.020754101957105781e-01,-6.312366796993676421e-02,-5.458680485044668629e+00
9.699999999999996819e-03,1.020690706304056422e-01,-6.366763812878695195e-02,-5.439701588501925755e+00
9.799999999999996214e-03,1.020626767626688636e-01,-6.420971660685993732e-02,-5.420784780729858809e+00
9.899999999999995609e-03,1.020562287813587266e-01,-6.474990959589844997e-02,-5.401929890385106070e+00
9.999999999999995004e-03,1.020497268747154046e-01,-6.528822327052598296e-02,-5.383136746275302364e+00
1.009999999999999440e-02,1.020431712303624672e-01,-6.582466378826223874e-02,-5.364405177362624677e+00
1.019999999999999379e-02,1.020365620353085728e-01,-6.635923728953897760e-02,-5.345735012767445227e+00
1.029999999999999319e-02,1.020298994759492039e-01,-6.689194989771612976e-02,-5.327126081771589305e+00
1.039999999999999258e-02,1.020231837380683598e-01,-6.742280771909832382e-02,-5.308578213821943059e+00
1.049999999999999198e-02,1.020164150068402636e-01,-6.795181684294654412e-02,-5.290091238482236946e+00
1.059999999999999137e-02,1.020095930230209003e-01,-6.848785954435261669e-02,-5.360427014060668682e+00
1.069999999999999077e-02,1.020027161879053790e-01,-6.904884276613346139e-02,-5.609832217808398802e+00
1.079999999999999016e-02,1.019957860774385744e-01,-6.955336657001742751e-02,-5.045238038839719330e+00
1.089999999999998956e-02,1.019888061546839891e-01,-7.004508852162454058e-02,-4.917219516071111407e+00
1.099999999999998895e-02,1.019817769997578560e-01,-7.053801000110374031e-02,-4.929214794792022403e+00
1.109999999999998835e-02,1.019746968312223445e-01,-7.106536070901331437e-02,-5.273507079095710814e+00
1.119999999999998774e-02,1.019675653358394912e-01,-7.156454694802640015e-02,-4.991862390130877181e+00
1.129999999999998714e-02,1.019603890070784336e-01,-7.196202827319699014e-02,-3.974813251705949568e+00
1.139999999999998653e-02,1.019531716276502464e-01,-7.238556029045724316e-02,-4.235320172602518696e+00
1.149999999999998593e-02,1.019459104855860582e-01,-7.283728099339796536e-02,-4.517207029407170893e+00
1.159999999999998532e-02,1.019386032324432756e-01,-7.330778186237978111e-02,-4.705008689818190426e+00
1.169999999999998472e-02,1.019312483320666818e-01,-7.379022566947061879e-02,-4.824438070908392717e+00
1.179999999999998411e-02,1.019238448118662543e-01,-7.428017833907472889e-02,-4.899526696041084151e+00
1.189999999999998351e-02,1.019163923754445727e-01,-7.476855009453575729e-02,-4.883717554610314870e+00
1.199999999999998290e-02,1.019088939811656075e-01,-7.519933548467476470e-02,-4.307853901390009455e+00
1.209999999999998230e-02,1.019013500890163099e-01,-7.567850750121772607e-02,-4.791720165429660838e+00
1.219999999999998169e-02,1.018937578696982177e-01,-7.616587886053066692e-02,-4.873713593129444632e+00
1.229999999999998109e-02,1.018861169255586979e-01,-7.665300392988343148e-02,-4.871250693527634290e+00
1.239999999999998048e-02,1.018784273163406695e-01,-7.713918043075036757e-02,-4.861765008669396870e+00
1.249999999999997988e-02,1.018706891119475488e-01,-7.762490743154594475e-02,-4.857270007955765578e+00
1.259999999999997927e-02,1.018629023422224361e-01,-7.811048707077870856e-02,-4.855796392327577315e+00
1.269999999999997867e-02,1.018550670211470083e-01,-7.859593443779187838e-02,-4.854473670131711494e+00
1.279999999999997806e-02,1.018471831685138634e-01,-7.908111822516161737e-02,-4.851837873697426140e+00
1.289999999999997746e-02,1.018392508192418333e-01,-7.956586721536038076e-02,-4.847489901987680483e+00
1.299999999999997685e-02,1.018312700250973424e-01,-8.005001567437149135e-02,-4.841484590111063468e+00
1.309999999999997625e-02,1.018232408536768885e-01,-8.053341273457628735e-02,-4.833970602047920728e+00
1.319999999999997564e-02,1.018151633870626321e-01,-8.101591955065472195e-02,-4.825068160784350191e+00
1.329999999999997504e-02,1.018070377207385691e-01,-8.149740693061337249e-02,-4.814873799586505854e+00
1.339999999999997443e-02,1.017988639625510006e-01,-8.197775682083455195e-02,-4.803498902211863708e+00
1.349999999999997383e-02,1.017906422314113768e-01,-8.245686597151843933e-02,-4.791091506838882630e+00
1.359999999999997322e-02,1.017823726556663644e-01,-8.293464892883829764e-02,-4.777829573198545177e+00
1.369999999999997262e-02,1.017740553712895846e-01,-8.341103860685306071e-02,-4.763896780147575782e+00
1.379999999999997201e-02,1.017656905201411166e-01,-8.388598436257459212e-02,-4.749457557215380987e+00
1.389999999999997141e-02,1.017572782484921085e-01,-8.435944861766972447e-02,-4.734642550951329021e+00
1.399999999999997080e-02,1.017488187058956939e-01,-8.483140331067622053e-02,-4.719546930064931978e+00
1.409999999999997020e-02,1.017403120443767101e-01,-8.530182706889655186e-02,-4.704237582203303347e+00
1.419999999999996959e-02,1.017317584178538542e-01,-8.577070338826016382e-02,-4.688763193636170890e+00
1.429999999999996899e-02,1.017231579817022002e-01,-8.623801964477452453e-02,-4.673162565143669234e+00
1.439999999999996838e-02,1.017145108923914881e-01,-8.670376656949330130e-02,-4.657469247187791872e+00
1.449999999999996778e-02,1.017058173071699601e-01,-8.716793786118942622e-02,-4.641712916961244773e+00
1.459999999999996717e-02,1.016970773837887893e-01,-8.763052976223241475e-02,-4.625919010429860201e+00
1.469999999999996657e-02,1.016882912802720140e-01,-8.809154057335864818e-02,-4.610108111262323227e+00
1.479999999999996596e-02,1.016794591547350440e-01,-8.855097016595941950e-02,-4.594295926007750275e+00
1.489999999999996536e-02,1.016705811652486302e-01,-8.900881956237113868e-02,-4.578493964117167359e+00
1.499999999999996475e-02,1.016616574697393471e-01,-8.946509062316752858e-02,-4.562710607963831322e+00
1.509999999999996415e-02,1.016526882259161796e-01,-8.991978584004875485e-02,-4.546952168812251394e+00
1.519999999999996354e-02,1.016436735912138595e-01,-9.037290820628959831e-02,-4.531223662408444319e+00
1.529999999999996294e-02,1.016346137227470275e-01,-9.082446113029638002e-02,-4.515529240067809980e+00
1.539999999999996233e-02,1.016255087772725413e-01,-9.127444835955993152e-02,-4.499872292635561877e+00
1.549999999999996173e-02,1.016163589111615528e-01,-9.172287386033982359e-02,-4.484255007798868320e+00
1.559999999999996112e-02,1.016071642803753061e-01,-9.216974186447073059e-02,-4.468680041309026407e+00
1.569999999999996051e-02,1.015979250404424050e-01,-9.261505679364402666e-02,-4.453149291732991344e+00
1.579999999999995991e-02,1.015886413464429233e-01,-9.305882319603300812e-02,-4.437664023889785980e+00
1.589999999999995930e-02,1.015793133529977604e-01,-9.350104570731380960e-02,-4.422225112808050973e+00
1.599999999999995870e-02,1.015699412142610919e-01,-9.394172902614106313e-02,-4.406833188272501367e+00
