time,y,vy,ay
3.999999999999997481e-03,1.023376411766467875e-01,-2.944308155522796025e-02,-6.625854287031983425e+00
4.099999999999997743e-03,1.023346638529264441e-01,-3.010339285163592463e-02,-6.603112964079651093e+00
4.199999999999998006e-03,1.023316206114227161e-01,-3.076143722302311645e-02,-6.580443713871933831e+00
4.299999999999998268e-03,1.023285116784724141e-01,-3.141722178299489326e-02,-6.557845599717754048e+00
4.399999999999998530e-03,1.023253372796998212e-01,-3.207075366874585082e-02,-6.535318857509589741e+00
4.499999999999998793e-03,1.023220976400126270e-01,-3.272204007513048601e-02,-6.512864063846337537e+00
4.599999999999999055e-03,1.023187929835973481e-01,-3.337108823040526445e-02,-6.490481552747763061e+00
4.699999999999999317e-03,1.023154235339182039e-01,-3.401790535238775892e-02,-6.468171219824960794e+00
4.799999999999999580e-03,1.023119895137198504e-01,-3.466249861464955340e-02,-6.445932622617976726e+00
4.899999999999999842e-03,1.023084911450323903e-01,-3.530487513443285319e-02,-6.423765197832975282e+00
5.000000000000000104e-03,1.023049286491767157e-01,-3.594504197899062864e-02,-6.401668445577784361e+00
5.100000000000000366e-03,1.023013022467687549e-01,-3.658300618023013068e-02,-6.379642012395035700e+00
5.200000000000000629e-03,1.022976121577223313e-01,-3.721877474822782306e-02,-6.357685679976894377e+00
5.300000000000000891e-03,1.022938586012509810e-01,-3.785235467873064585e-02,-6.335799305028245065e+00
5.400000000000001153e-03,1.022900417958693270e-01,-3.848375295445038979e-02,-6.313982757197408979e+00
5.500000000000001416e-03,1.022861619593944671e-01,-3.911297654267138074e-02,-6.292235882209911146e+00
5.600000000000001678e-03,1.022822193089477222e-01,-3.974003239211473804e-02,-6.270558494433594809e+00
5.700000000000001940e-03,1.022782140609565654e-01,-4.036492743096407182e-02,-6.248950388493354602e+00
5.800000000000002202e-03,1.022741464311566900e-01,-4.098766856655931823e-02,-6.227411355952496841e+00
5.900000000000002465e-03,1.022700166345940492e-01,-4.160826268627637603e-02,-6.205941197170588453e+00
6.000000000000002727e-03,1.022658248856248425e-01,-4.222671669794045290e-02,-6.184540116640748764e+00
6.100000000000002989e-03,1.022615713979160845e-01,-4.284303747726925932e-02,-6.163207793288092873e+00
6.200000000000003252e-03,1.022572563844504762e-01,-4.345723183499565490e-02,-6.141943577263972109e+00
6.300000000000003514e-03,1.022528800575299435e-01,-4.406930657566579534e-02,-6.120747406701413595e+00
6.400000000000003776e-03,1.022484426287764842e-01,-4.467926849346901680e-02,-6.099619178032248179e+00
6.500000000000004038e-03,1.022439443091334166e-01,-4.528712436788731588e-02,-6.078558744183000684e+00
6.600000000000004301e-03,1.022393853088669202e-01,-4.589288096193760991e-02,-6.057565940502944279e+00
6.700000000000004563e-03,1.022347658375677426e-01,-4.649654502160524561e-02,-6.036640596676377868e+00
6.800000000000004825e-03,1.022300861041528786e-01,-4.709812327566524626e-02,-6.015782540600016048e+00
6.900000000000005088e-03,1.022253463168673188e-01,-4.769762243560014825e-02,-5.994991599349033251e+00
7.000000000000005350e-03,1.022205466832857568e-01,-4.829504919554290787e-02,-5.974267599427609987e+00
7.100000000000005612e-03,1.022156874103143653e-01,-4.889041023223877208e-02,-5.953610366958644207e+00
7.200000000000005874e-03,1.022107687041925034e-01,-4.948371220502843087e-02,-5.933019727896577500e+00
7.300000000000006137e-03,1.022057907704944646e-01,-5.007496175584944670e-02,-5.912495508210175998e+00
7.400000000000006399e-03,1.022007538141312122e-01,-5.066416550924846690e-02,-5.892037533990219345e+00
7.500000000000006661e-03,1.021956580393521274e-01,-5.125133007239641991e-02,-5.871645631479553984e+00
7.600000000000006924e-03,1.021905036497467584e-01,-5.183646203510167139e-02,-5.851319627052492756e+00
7.700000000000007186e-03,1.021852908482465128e-01,-5.241956796981951661e-02,-5.831059347178445762e+00
7.800000000000007448e-03,1.021800198371264345e-01,-5.300065443165896673e-02,-5.810864618394522729e+00
7.900000000000007710e-03,1.021746908180069385e-01,-5.357972795838864682e-02,-5.790735267296814648e+00
8.000000000000007105e-03,1.021693039918555035e-01,-5.415679507044329766e-02,-5.770671120546516875e+00
8.100000000000006500e-03,1.021638595589884346e-01,-5.473186227093159578e-02,-5.750672004883008448e+00
8.200000000000005895e-03,1.021583577190726122e-01,-5.530493604564513943e-02,-5.730737747135458804e+00
8.300000000000005290e-03,1.021527986711271707e-01,-5.587602286306815602e-02,-5.710868174230156136e+00
8.400000000000004685e-03,1.021471826135253030e-01,-5.644512917438741090e-02,-5.691063113192538658e+00
8.500000000000004080e-03,1.021415097439959119e-01,-5.701226141350214383e-02,-5.671322391147311848e+00
8.600000000000003475e-03,1.021357802596253861e-01,-5.757742599703394998e-02,-5.651645835318038102e+00
8.700000000000002870e-03,1.021299943568593216e-01,-5.814062932433677194e-02,-5.632033273028221210e+00
8.800000000000002265e-03,1.021241522315042283e-01,-5.870187777750716929e-02,-5.612484531703956669e+00
8.900000000000001660e-03,1.021182540787292786e-01,-5.926117772139494894e-02,-5.592999438877780172e+00
9.000000000000001055e-03,1.021123000930680286e-01,-5.981853550361423966e-02,-5.573577822192889109e+00
9.100000000000000450e-03,1.021062904684201245e-01,-6.037395745455496898e-02,-5.554219509407262834e+00
9.199999999999999845e-03,1.021002253980530239e-01,-6.092744988739469403e-02,-5.534924328397243798e+00
