Time,Flux,Max_Particle_Vel,Max_K,Max_Omega
8.499999999999227063e-01,0.000000000000000000e+00,3.752100984480719603e-01,3.813930381269858838e-01,3.329647448330623547e+02
8.599999999999216049e-01,0.000000000000000000e+00,2.963989180562612846e-01,3.650896812318623619e-01,3.393020533024970860e+02
8.699999999999205036e-01,0.000000000000000000e+00,3.210350012700108890e-01,3.637198619601458294e-01,3.455182593505097088e+02
8.799999999999194022e-01,0.000000000000000000e+00,3.918178696706111630e-01,3.942299461845513164e-01,3.515807523602545075e+02
8.899999999999183009e-01,0.000000000000000000e+00,3.013788753344291971e-01,4.295273067682903179e-01,3.575022848022487096e+02
8.999999999999171996e-01,0.000000000000000000e+00,2.170027409289632947e-01,4.680126690365183917e-01,3.633500530911982764e+02
9.099999999999160982e-01,0.000000000000000000e+00,2.042571768100382157e-01,5.070963168350561823e-01,3.689685569807351158e+02
9.199999999999149969e-01,0.000000000000000000e+00,3.145830238745662699e-01,5.330143604173251948e-01,3.743559229304867699e+02
9.299999999999138955e-01,0.000000000000000000e+00,4.530641725635107253e-01,5.501341447739088730e-01,3.794946756458439836e+02
9.399999999999127942e-01,0.000000000000000000e+00,3.609095004111206872e-01,5.720974848934514689e-01,3.843695571004712406e+02
9.499999999999116929e-01,0.000000000000000000e+00,3.976652528411541154e-01,5.986541621637035959e-01,3.889913715733865160e+02
9.599999999999105915e-01,0.000000000000000000e+00,3.027855627762652269e-01,6.186074388790289147e-01,3.933797956018144646e+02
9.699999999999094902e-01,0.000000000000000000e+00,2.025995866965242531e-01,6.447737343407764499e-01,3.975403197315536659e+02
9.799999999999083888e-01,0.000000000000000000e+00,2.483984150810888136e-01,6.883522353895717982e-01,4.014608892357342143e+02
9.899999999999072875e-01,0.000000000000000000e+00,3.301355488263901239e-01,7.399975616816941715e-01,4.050675955288793375e+02
9.999999999999061862e-01,0.000000000000000000e+00,5.240812542913716454e-01,7.936980789674241699e-01,4.082640061359814467e+02
1.009999999999905196e+00,0.000000000000000000e+00,2.748242347105683270e-01,8.477637722820404731e-01,4.111471050043367086e+02
1.019999999999904094e+00,1.000000000000000000e+00,2.928495642780757358e-01,9.035973467155760108e-01,4.142272185754671341e+02
